Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
College of Natural Science,Denver,College of Natural Science,Scholarship,5088.0,2010-07-28,Biological Science Interdepartmental,1000,CO,2010,July,3,Wednesday,No,VIP
College of Natural Science,San Francisco,College of Social Science,Scholarship,3793.0,2010-09-10,Human Development and Family Studies,1001,CA,2010,September,3,Friday,No,Premium
Minority Scholarship Fund,Los Angeles,College of Business,Scholarship,2952.0,2010-06-30,Accounting,1002,CA,2010,June,2,Wednesday,No,Premium
College of Communication Arts and Sciences,Mesa,College of Natural Science,Scholarship,2872.0,2010-11-23,Mathematics,1003,AZ,2010,November,4,Tuesday,No,Premium
Diversity Fund,West Valley City,College of Social Science,Endowment,2022.0,2010-10-10,Psychology,1004,UT,2010,October,4,Sunday,Yes,Premium
University Annual Fund,West Valley City,College of Social Science,Endowment,7234.0,2013-05-21,Psychology,1004,UT,2013,May,2,Tuesday,No,VIP
College of Arts and Sciences,Orlando,College of Engineering,Scholarship,173.0,2010-03-15,Materials Science and Engineering,1005,FL,2010,March,1,Monday,No,Medium
Alumni Association,Orlando,College of Engineering,Campus Resource,368.0,2013-08-29,Materials Science and Engineering,1005,FL,2013,August,3,Thursday,No,Medium
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,681.0,2010-10-25,Fisheries and Wildlife,1006,VA,2010,October,4,Monday,No,Large
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,1758.0,2013-08-20,Fisheries and Wildlife,1006,VA,2013,August,3,Tuesday,No,Premium
Faculty Chair Endowments,Detroit,College of Political Science,Endowment,6862.0,2010-05-30,Social Relations and Policy,1007,MI,2010,May,2,Sunday,Yes,VIP
Parents Association,Detroit,College of Political Science,Campus Resource,13784.0,2011-09-05,Social Relations and Policy,1007,MI,2011,September,3,Monday,No,VIP
College of Arts and Sciences,Detroit,College of Political Science,Scholarship,26590.0,2012-06-19,Social Relations and Policy,1007,MI,2012,June,2,Tuesday,No,VIP
Campus Museums,Detroit,College of Political Science,Campus Resource,28838.0,2014-03-29,Social Relations and Policy,1007,MI,2014,March,1,Saturday,Yes,VIP
College of Arts and Sciences,Atlanta,College of Social Science,Scholarship,784.0,2010-05-16,Interdisciplinary Studies in Social Science - Social Science Education,1008,GA,2010,May,2,Sunday,Yes,Large
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,5619.0,2010-04-22,Art History and Visual Culture,1009,CA,2010,April,2,Thursday,No,VIP
Minority Scholarship Fund,Indianapolis,College of Communication Arts and Sciences,Scholarship,5686.0,2010-04-28,Media and Information,1010,IN,2010,April,2,Wednesday,No,VIP
Campus Museums,Henderson,College of Communication Arts and Sciences,Campus Resource,373.0,2010-10-31,Media and Information,1011,NV,2010,October,4,Sunday,Yes,Medium
College of Social Science,Phoenix,College of Political Science,Scholarship,7285.0,2010-06-29,Political Theory and Constitutional Democracy,1012,AZ,2010,June,2,Tuesday,No,VIP
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,2209.0,2010-01-12,Geographic Information Science,1013,MO,2010,January,1,Tuesday,No,Premium
Parents Association,Manchester,College of Natural Science,Campus Resource,8877.0,2010-01-19,Computational Mathematics,1014,NH,2010,January,1,Tuesday,No,VIP
College of Arts and Sciences,Los Angeles,College of Education,Scholarship,6757.0,2010-03-31,Education,1015,CA,2010,March,1,Wednesday,No,VIP
College of Natural Science,Seattle,College of Agriculture and Natural Resources,Scholarship,2585.0,2010-08-06,Agribusiness Management,1016,WA,2010,August,3,Friday,No,Premium
College of Social Science,Lexington,College of Political Science,Scholarship,888.0,2010-12-28,College of Political Science,1017,KY,2010,December,4,Tuesday,No,Large
Athletics,New York,College of Arts and Sciences,Campus Resource,3367.0,2010-01-12,Japanese,1018,NY,2010,January,1,Tuesday,No,Premium
In-State Scholarship Fund,New York,College of Arts and Sciences,Scholarship,1538.0,2013-01-22,Japanese,1018,NY,2013,January,1,Tuesday,No,Premium
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,6516.0,2010-06-26,Horticulture,1019,IL,2010,June,2,Saturday,Yes,VIP
College of Arts and Sciences,Chicago,College of Agriculture and Natural Resources,Scholarship,1434.0,2013-10-06,Horticulture,1019,IL,2013,October,4,Sunday,Yes,Premium
Faculty Chair Endowments,Colorado Springs,College of Agriculture and Natural Resources,Endowment,1793.0,2010-04-30,Agriculture and Natural Resources-No Preference,1020,CO,2010,April,2,Friday,No,Premium
College of Arts and Sciences,Colorado Springs,College of Agriculture and Natural Resources,Scholarship,6032.0,2013-03-14,Agriculture and Natural Resources-No Preference,1020,CO,2013,March,1,Thursday,No,VIP
Honors Program,Detroit,College of Music,Campus Resource,9739.0,2010-04-15,Composition,1021,MI,2010,April,2,Thursday,No,VIP
College of Natural Science,Detroit,College of Music,Scholarship,1437.0,2013-02-02,Composition,1021,MI,2013,February,1,Saturday,Yes,Premium
Alumni Association,Oklahoma City,College of Natural Science,Campus Resource,2873.0,2010-08-16,Neuroscience,1022,OK,2010,August,3,Monday,No,Premium
College of Natural Science,Oklahoma City,College of Natural Science,Scholarship,8916.0,2013-10-22,Neuroscience,1022,OK,2013,October,4,Tuesday,No,VIP
Trustees Fund,Cedar Rapids,College of Natural Science,Endowment,8257.0,2010-06-02,Environmental Biology/Plant Biol,1023,IA,2010,June,2,Wednesday,No,VIP
Campus Recreation,Cedar Rapids,College of Natural Science,Campus Resource,9344.0,2013-09-04,Environmental Biology/Plant Biol,1023,IA,2013,September,3,Wednesday,No,VIP
Campus Museums,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,3071.0,2010-06-12,Horticulture,1024,CA,2010,June,2,Saturday,Yes,Premium
College of Social Science,Los Angeles,College of Agriculture and Natural Resources,Scholarship,4976.0,2013-12-05,Horticulture,1024,CA,2013,December,4,Thursday,No,Premium
Trustees Fund,Alexandria,College of Natural Science,Endowment,5288.0,2010-10-04,Actuarial Science,1025,VA,2010,October,4,Monday,No,VIP
College of Business,Alexandria,College of Natural Science,Scholarship,9079.0,2013-01-09,Actuarial Science,1025,VA,2013,January,1,Wednesday,No,VIP
College of Engineering,Miami,College of Arts and Sciences,Scholarship,6146.0,2010-05-12,Global Studies in the Arts and Humanities,1026,FL,2010,May,2,Wednesday,No,VIP
Trustees Fund,Miami,College of Arts and Sciences,Endowment,6155.0,2013-08-17,Global Studies in the Arts and Humanities,1026,FL,2013,August,3,Saturday,Yes,VIP
University Annual Fund,Philadelphia,College of Natural Science,Endowment,6371.0,2010-12-10,Biochemistry and Molecular Biology/Biotechnology,1027,PA,2010,December,4,Friday,No,VIP
University Annual Fund,Philadelphia,College of Natural Science,Endowment,3478.0,2013-07-18,Biochemistry and Molecular Biology/Biotechnology,1027,PA,2013,July,3,Thursday,No,Premium
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,6451.0,2010-10-02,Fisheries and Wildlife,1028,MI,2010,October,4,Saturday,Yes,VIP
College of Natural Science,Lansing,College of Agriculture and Natural Resources,Scholarship,243.0,2013-09-05,Fisheries and Wildlife,1028,MI,2013,September,3,Thursday,No,Medium
